X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
2,4,feb,thu,92.4,43.7,634.0,11.0,26.5,37,4.7,0.0,34.85
9,5,mar,sat,91.4,1.1,521.3,8.0,29.5,50,7.2,0.0,0.0
4,6,sep,sun,90.0,15.2,735.5,8.3,20.5,45,5.6,0.0,6.0
3,4,mar,sun,93.3,39.2,578.2,9.8,14.0,30,4.3,0.0,8.19
8,6,mar,fri,89.6,23.2,311.1,5.9,20.5,17,4.9,1.1,0.0
7,4,dec,thu,92.2,15.7,85.6,6.1,21.3,49,6.2,0.0,50.65
4,3,sep,tue,93.8,1.1,626.3,6.2,22.8,51,2.2,0.0,0.0
4,4,aug,fri,90.7,47.7,117.8,11.6,24.0,45,3.6,0.0,0.0
4,4,jan,tue,91.3,64.0,456.4,6.8,23.7,35,4.9,0.0,0.0
4,3,sep,mon,23.2,43.4,672.1,4.9,21.8,40,7.2,0.0,146.78
4,3,may,sat,94.2,68.1,161.9,6.4,25.7,30,5.6,0.0,0.0
4,4,aug,thu,94.1,42.1,623.3,9.0,31.7,34,4.1,0.0,0.0
7,4,sep,wed,92.5,1.1,36.8,1.4,24.2,47,7.6,0.0,16.61
9,2,sep,tue,93.5,1.1,7.9,3.8,22.2,34,4.2,0.0,0.0
4,2,sep,mon,90.5,28.2,54.6,6.4,22.9,52,5.3,0.0,8.09
4,4,aug,tue,93.2,1.1,636.3,6.7,23.8,26,5.9,0.0,7.18
4,4,sep,sat,91.5,6.5,604.0,4.9,22.3,37,5.8,0.0,0.0
8,4,dec,sun,85.6,23.5,595.7,0.0,18.4,32,5.5,0.0,6.73
3,4,jul,sat,92.9,77.3,484.5,13.2,22.4,28,5.7,0.0,0.0
4,4,oct,sat,94.4,82.9,647.9,6.5,27.2,62,5.3,0.0,13.78
4,4,jul,mon,94.7,28.4,413.6,6.9,25.8,30,2.4,0.0,0.0
3,5,sep,sun,93.2,158.3,718.1,9.4,17.1,28,7.4,0.0,4.94
7,4,aug,wed,90.7,8.3,620.8,7.9,20.4,34,3.5,0.0,1.96
4,4,jul,sun,94.7,110.3,159.4,11.9,9.4,30,7.1,0.0,5.75
3,4,sep,sun,87.0,151.5,7.9,12.0,4.4,77,4.9,0.0,2.93
4,4,jan,sat,90.2,21.3,222.0,4.6,20.2,35,6.5,0.0,0.0
7,3,aug,thu,83.0,25.8,624.0,5.0,17.0,45,5.2,0.0,3.69
3,3,mar,sun,93.9,8.6,7.9,2.2,22.3,19,5.1,0.0,4.17
1,5,mar,mon,88.5,29.5,716.6,5.9,15.6,57,3.3,0.0,9.6
4,4,aug,tue,94.5,1.1,527.6,3.8,33.3,48,5.6,0.0,0.0
